18021ed6e	string	{} ({:#x})
18021ed79	string	CreateSwapChainForComposition failed
18021ed9e	string	IDXGISwapChain::Present
18021edb6	string	IDXGISwapChain1::Present1
18021edd0	string	IDXGISwapChain::ResizeBuffers
18021edee	string	could not detour Present
18021ee07	string	waiting for the first frame
18021ee23	string	renderer setup failed
18021ee39	string	ready
18021ee3f	string	shut down
18021ee49	string	not installed
18021ee57	string	motion blur
18021ee63	string	overlay present
18021ee73	string	overlay present1
18021eeb6	string	HDnot loaded
18021eec3	string	waiting for the game's texture group
18021efc8	string	textures/environment/overworld_cubemap/cubemap_
18021f015	string	XFM<unmapped>
1802224d0	string	        
180222d88	string	MH_UNKNOWN
180222d93	string	MH_OK
180222d99	string	MH_ERROR_ALREADY_INITIALIZED
180222db6	string	MH_ERROR_NOT_INITIALIZED
180222dcf	string	MH_ERROR_ALREADY_CREATED
180222de8	string	MH_ERROR_NOT_CREATED
180222dfd	string	MH_ERROR_ENABLED
180222e0e	string	MH_ERROR_DISABLED
180222e20	string	MH_ERROR_NOT_EXECUTABLE
180222e38	string	MH_ERROR_UNSUPPORTED_FUNCTION
180222e56	string	MH_ERROR_MEMORY_ALLOC
180222e6c	string	MH_ERROR_MEMORY_PROTECT
180222e84	string	MH_ERROR_MODULE_NOT_FOUND
180222e9e	string	MH_ERROR_FUNCTION_NOT_FOUND
180222eba	string	(unknown)
180224098	string	bad allocation
1802240c0	string	bad array new length
1802240f0	string	bad function call
180243820	unicode	kernel32.dll
180243840	string	GetTempPath2W
180243960	unicode	!x-sys-default-locale
180244120	string	success
180244128	string	address family not supported
180244148	string	address in use
180244158	string	address not available
180244170	string	already connected
180244188	string	argument list too long
1802441a0	string	argument out of domain
1802441b8	string	bad address
1802441c8	string	bad file descriptor
1802441e0	string	bad message
1802441f0	string	broken pipe
180244200	string	connection aborted
180244218	string	connection already in progress
180244238	string	connection refused
180244250	string	connection reset
180244268	string	cross device link
180244280	string	destination address required
1802442a0	string	device or resource busy
1802442b8	string	directory not empty
1802442d0	string	executable format error
1802442e8	string	file exists
1802442f8	string	file too large
180244308	string	filename too long
180244320	string	function not supported
180244338	string	host unreachable
180244350	string	identifier removed
180244368	string	illegal byte sequence
180244380	string	inappropriate io control operation
1802443a8	string	interrupted
1802443b8	string	invalid argument
1802443d0	string	invalid seek
1802443e0	string	io error
1802443f0	string	is a directory
180244400	string	message size
180244410	string	network down
180244420	string	network reset
180244430	string	network unreachable
180244448	string	no buffer space
180244458	string	no child process
180244470	string	no link
180244478	string	no lock available
180244490	string	no message available
1802444a8	string	no message
1802444b8	string	no protocol option
1802444d0	string	no space on device
1802444e8	string	no stream resources
180244500	string	no such device or address
180244520	string	no such device
180244530	string	no such file or directory
180244550	string	no such process
180244560	string	not a directory
180244570	string	not a socket
180244580	string	not a stream
180244590	string	not connected
1802445a0	string	not enough memory
1802445b8	string	not supported
1802445c8	string	operation canceled
1802445e0	string	operation in progress
1802445f8	string	operation not permitted
180244610	string	operation not supported
180244628	string	operation would block
180244640	string	owner dead
180244650	string	permission denied
180244668	string	protocol error
180244678	string	protocol not supported
180244690	string	read only file system
1802446a8	string	resource deadlock would occur
1802446c8	string	resource unavailable try again
1802446e8	string	result out of range
180244700	string	state not recoverable
180244718	string	stream timeout
180244728	string	text file busy
180244738	string	timed out
180244748	string	too many files open in system
180244768	string	too many files open
180244780	string	too many links
180244790	string	too many symbolic link levels
1802447b0	string	value too large
1802447c0	string	wrong protocol type
1802447d8	string	unknown error
180244908	unicode	w+bx
1802449d8	unicode	icu.dll
1802449e8	string	ucal_close
1802449f8	string	ucal_get
180244a08	string	ucal_getCanonicalTimeZoneID
180244a28	string	ucal_getDefaultTimeZone
180244a40	string	ucal_getTimeZoneDisplayName
180244a60	string	ucal_getTimeZoneTransitionDate
180244a80	string	ucal_getTZDataVersion
180244a98	string	ucal_inDaylightTime
180244ab0	string	ucal_open
180244ac0	string	ucal_openTimeZoneIDEnumeration
180244ae0	string	ucal_setMillis
180244af0	string	uenum_close
180244b00	string	uenum_count
180244b10	string	uenum_unext
180244b20	unicode	SYSTEM\CurrentControlSet\Control\LeapSecondInformation
180244b90	unicode	LeapSeconds
180244d68	string	GetSystemTimePreciseAsFileTime
180244eb8	string	0123456789abcdefghijklmnopqrstuvwxyz
180244f08	string	0123456789abcdefghijklmnopqrstuvwxyz
1802450d8	string	bad exception
180245800	string	__based(
180245810	string	__cdecl
180245818	string	__stdcall
180245828	string	__thiscall
180245838	string	__fastcall
180245848	string	__vectorcall
180245858	string	__preserve_none
180245868	string	__clrcall
180245880	string	__swift_1
180245890	string	__swift_2
1802458a0	string	__swift_3
1802458b8	string	__restrict
1802458c8	string	__unaligned
1802458d8	string	restrict(
1802458f0	string	 delete
180245918	string	operator
180245998	string	`vftable'
1802459a8	string	`vbtable'
1802459d0	string	`local static guard'
1802459e8	string	`string'
1802459f8	string	`vbase destructor'
180245a10	string	`vector deleting destructor'
180245a30	string	`default constructor closure'
180245a50	string	`scalar deleting destructor'
180245a70	string	`vector constructor iterator'
180245a90	string	`vector destructor iterator'
180245ab0	string	`vector vbase constructor iterator'
180245ad8	string	`virtual displacement map'
180245af8	string	`eh vector constructor iterator'
180245b20	string	`eh vector destructor iterator'
