address	type	namespace	name
EXTERNAL:0000005c	Function	KERNEL32.DLL	FlushInstructionCache
EXTERNAL:0000005d	Function	KERNEL32.DLL	GetModuleHandleW
EXTERNAL:0000005e	Function	KERNEL32.DLL	K32GetModuleInformation
EXTERNAL:0000005f	Function	KERNEL32.DLL	GetProcAddress
EXTERNAL:00000060	Function	KERNEL32.DLL	GetEnvironmentVariableW
EXTERNAL:00000061	Function	KERNEL32.DLL	FindFirstFileW
EXTERNAL:00000062	Function	KERNEL32.DLL	FindNextFileW
EXTERNAL:00000063	Function	KERNEL32.DLL	GetFileAttributesW
EXTERNAL:00000064	Function	KERNEL32.DLL	FindClose
EXTERNAL:00000065	Function	KERNEL32.DLL	CreateFileW
EXTERNAL:00000066	Function	KERNEL32.DLL	GetFileSizeEx
EXTERNAL:00000067	Function	KERNEL32.DLL	ReadFile
EXTERNAL:00000068	Function	KERNEL32.DLL	DisableThreadLibraryCalls
EXTERNAL:00000069	Function	KERNEL32.DLL	CreateThread
EXTERNAL:0000006a	Function	KERNEL32.DLL	ExitThread
EXTERNAL:0000006b	Function	KERNEL32.DLL	FreeLibraryAndExitThread
EXTERNAL:0000006c	Function	KERNEL32.DLL	HeapCreate
EXTERNAL:0000006d	Function	KERNEL32.DLL	HeapFree
EXTERNAL:0000006e	Function	KERNEL32.DLL	HeapDestroy
EXTERNAL:0000006f	Function	KERNEL32.DLL	OpenThread
EXTERNAL:00000070	Function	KERNEL32.DLL	ResumeThread
EXTERNAL:00000071	Function	KERNEL32.DLL	HeapReAlloc
EXTERNAL:00000072	Function	KERNEL32.DLL	HeapAlloc
EXTERNAL:00000073	Function	KERNEL32.DLL	GetLastError
EXTERNAL:00000074	Function	KERNEL32.DLL	SuspendThread
EXTERNAL:00000075	Function	KERNEL32.DLL	GetThreadContext
EXTERNAL:00000076	Function	KERNEL32.DLL	SetThreadContext
EXTERNAL:00000077	Function	KERNEL32.DLL	VirtualFree
EXTERNAL:00000078	Function	KERNEL32.DLL	SetFilePointerEx
EXTERNAL:00000079	Function	KERNEL32.DLL	ReleaseSRWLockExclusive
EXTERNAL:0000007a	Function	KERNEL32.DLL	AcquireSRWLockExclusive
EXTERNAL:0000007b	Label	KERNEL32.DLL	WakeAllConditionVariable
EXTERNAL:0000007c	Function	KERNEL32.DLL	SleepConditionVariableSRW
EXTERNAL:0000007d	Function	KERNEL32.DLL	RtlCaptureContext
EXTERNAL:0000007e	Function	KERNEL32.DLL	RtlLookupFunctionEntry
EXTERNAL:0000007f	Function	KERNEL32.DLL	RtlVirtualUnwind
EXTERNAL:00000080	Function	KERNEL32.DLL	UnhandledExceptionFilter
EXTERNAL:00000081	Function	KERNEL32.DLL	SetUnhandledExceptionFilter
EXTERNAL:00000082	Function	KERNEL32.DLL	TerminateProcess
EXTERNAL:00000083	Function	KERNEL32.DLL	IsProcessorFeaturePresent
EXTERNAL:00000084	Function	KERNEL32.DLL	IsDebuggerPresent
EXTERNAL:00000085	Function	KERNEL32.DLL	GetStartupInfoW
EXTERNAL:00000086	Function	KERNEL32.DLL	RtlUnwind
EXTERNAL:00000087	Label	KERNEL32.DLL	InitializeSListHead
EXTERNAL:00000088	Function	KERNEL32.DLL	CreateDirectoryW
EXTERNAL:00000089	Function	KERNEL32.DLL	FindFirstFileExW
EXTERNAL:0000008a	Function	KERNEL32.DLL	GetFileAttributesExW
EXTERNAL:0000008b	Function	KERNEL32.DLL	SetFileInformationByHandle
EXTERNAL:0000008c	Function	KERNEL32.DLL	GetTempPathW
EXTERNAL:0000008d	Function	KERNEL32.DLL	AreFileApisANSI
EXTERNAL:0000008e	Function	KERNEL32.DLL	GetFileInformationByHandleEx
EXTERNAL:0000008f	Function	KERNEL32.DLL	MultiByteToWideChar
EXTERNAL:00000090	Function	KERNEL32.DLL	LocalFree
EXTERNAL:00000091	Function	KERNEL32.DLL	FormatMessageA
EXTERNAL:00000092	Function	KERNEL32.DLL	GetLocaleInfoEx
EXTERNAL:00000093	Function	KERNEL32.DLL	TryAcquireSRWLockExclusive
EXTERNAL:00000094	Function	KERNEL32.DLL	ReleaseSRWLockShared
EXTERNAL:00000095	Function	KERNEL32.DLL	AcquireSRWLockShared
EXTERNAL:00000096	Function	KERNEL32.DLL	SetLastError
EXTERNAL:00000097	Function	KERNEL32.DLL	LoadLibraryExW
EXTERNAL:00000098	Function	KERNEL32.DLL	GetStringTypeW
EXTERNAL:00000099	Function	KERNEL32.DLL	EncodePointer
EXTERNAL:0000009a	Function	KERNEL32.DLL	DecodePointer
EXTERNAL:0000009b	Function	KERNEL32.DLL	EnterCriticalSection
EXTERNAL:0000009c	Function	KERNEL32.DLL	LeaveCriticalSection
EXTERNAL:0000009d	Function	KERNEL32.DLL	InitializeCriticalSectionEx
EXTERNAL:0000009e	Function	KERNEL32.DLL	DeleteCriticalSection
EXTERNAL:0000009f	Function	KERNEL32.DLL	LCMapStringEx
EXTERNAL:000000a0	Function	KERNEL32.DLL	GetCPInfo
EXTERNAL:000000a1	Function	KERNEL32.DLL	RtlUnwindEx
EXTERNAL:000000a2	Function	KERNEL32.DLL	RtlPcToFileHeader
EXTERNAL:000000a3	Function	KERNEL32.DLL	RaiseException
